id,idTipo,idEtapa
1,12680,12684
2,12681,12684
3,12682,12684
4,12683,12684
5,12714,12684
6,12680,12685
7,12681,12685
8,12682,12685
9,12683,12685
10,12714,12685
11,12680,12686
12,12681,12686
13,12682,12686
14,12683,12686
15,12714,12686
16,12707,12796
17,12708,12796
18,12707,12797
19,12708,12797
20,12707,12798
21,12708,12798
22,12707,12810
23,12708,12810
24,12707,12811
25,12708,12811
26,12707,12812
27,12708,12812
28,12707,12813
29,12708,12813
30,12707,12814
31,12708,12814
