codigo,modelo,tabla,listcampos,listetiquetas,listtablas,listalias,listjoin,tipo,subtipo
110,Documentos Adjuntos por Expediente,expedien,"expedien.expediente,expedien.iyear,expedien.descripcion,expadjun.Fecha,expadjun.Descripcion,expadjun.Imagen,expadjun.ubicacion,clientes.codigo,clientes.snombrecli",,"expedien,clientes,cliecont,abogados,procurad,abogados,procurad,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,expadjun,segexp,cuenexpe","expedien,clientes,cliecont,abogadopropio,procuradorpropio,abogadoscontrarios,procuradcontrario,colabora,organism,juzgado,procedi,tipoasun,tipoexp,subusu,perso1,perso2,perso3,perso4,perso5,perso7,peritos,talleres,expadjun,segexp,cuenexpe","""left join clientes as clientes on expedien.codcliente=clientes.icodcli""",,
111,Historial por Cliente,alertasseg,"snombrecli,nombre,dfechaact,sactuacion,fecharealizacion,TIEMPOHORA,precio,expediente",,,,,,
112,Historial por Expediente,alertasseg,"expediente,dfechaact,sactuacion,fecharealizacion,TIEMPOHORA,precio,nombre",,,,,,
113,Previas 3 por Cliente,alertasprevi3,"snombrecli,dfecha,sDescripcion,fEntradasEuro,fSalidasEuro,previrealizada,fecharealizada",,,,,,
118,Cuentas,cuencli,"dFecha,sDescripcion,cuenrealizada,sTipo,fEntradasEuro,fSalidasEuro",,,,,,
120,Documentos Historial,segexp,"expedcto.fechadcto,expedcto.titulo,expedcto.nombrecarta,clientes.codigo,clientes.snombrecli",,"segexp,clientes,subusu,expedcto,expimage","segexp,clientes,subusu,expedcto,expimage","""left join expimage on segexp.inumexp=expimage.inumexp and segexp.iyear=expimage.iyear and segexp.dfechaact=expimage.dfechaactuacion and segexp.linea=expimage.lineaactu"",""left join expedien on expedien.inumexp=segexp.inumexp and expedien.iyear=segexp.iyear left join clientes as clientes on expedien.codcliente=clientes.icodcli"",""left join expedcto on segexp.inumexp=expedcto.inumexp and segexp.iyear=expedcto.iyear and segexp.dfechaact=expedcto.fechaactuacion and segexp.linea=expedcto.linea""",,
121,Adjuntos Historial,segexp,"expimage.fecha,expimage.descripcion,expimage.ubicacion,expimage.imagen,clientes.codigo,clientes.snombrecli",,"segexp,clientes,subusu,expedcto,expimage","segexp,clientes,subusu,expedcto,expimage","""left join expimage on segexp.inumexp=expimage.inumexp and segexp.iyear=expimage.iyear and segexp.dfechaact=expimage.dfechaactuacion and segexp.linea=expimage.lineaactu"",""left join expedien on expedien.inumexp=segexp.inumexp and expedien.iyear=segexp.iyear left join clientes as clientes on expedien.codcliente=clientes.icodcli""",,
122,Cuentas,cuenexpe,"inumfactura,yearfact,sTipo,sDescripcion,dFecha,fEntradasEuro,fSalidasEuro,codsubusu",,,,,,
123,Previas1,diacuenprev1,"iyear,subusu,sdescripcion,fentradaseuro,dfecha,linea,snombrecli,nomsubusu,numdcto,sorigen,fsalidaseuro,tipoexp",,,,,,
125,Agenda,agenda,"ABOGCONT,ABOGPROP,sActuacion,iYear,CLIEPRO,CLIECONT,descripcion,dFechaAct,HoraFin,Hora,Juzgado,sNumAsunto,Procedimiento,PROCCONT,ABOGADO,tipoexp,sSUBUSU,expediente",,,,,,
127,Albarán,albaran,"yearfact,inumfactura,totalderechoseuro,totalprovisioneseuro,totalsuplidoseuro,TotalEuro",,,,,,
128,Pedido,pedido,"yearfact,inumfactura,totalderechoseuro,totalprovisioneseuro,totalsuplidoseuro,TotalEuro",,,,,,
129,Presupuesto,presupuesto,"yearfact,inumfactura,totalderechoseuro,totalprovisioneseuro,totalsuplidoseuro,TotalEuro",,,,,,
130,Orden,parte,"yearfact,inumfactura,totalderechoseuro,totalprovisioneseuro,totalsuplidoseuro,TotalEuro",,,,,,
