id,bicswift,banco,nrbe
75,MISVESMMXXX,"MAPFRE INVERSION, SOCIEDAD DE VALORES, S.A.",3563
76,MLCEESMMXXX,"MERRILL LYNCH CAPITAL MARKETS ESPAÑA, S.A., SOCIEDAD DE VALORES",3661
77,NACNESMMXXX,"BANCO DE LA NACION ARGENTINA, SUCURSAL EN ESPAÑA",0169
78,NATXESMMXXX,"NATIXIS, S.A., SUCURSAL EN ESPAÑA",1479
79,PARBESMHXXX,"BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA",0144
80,POHIESMMXXX,"TARGOBANK, S.A.",0216
81,POPIESMMXXX,"POPULAR BANCA PRIVADA, S.A.",0233
82,POPLESMMXXX,"BANCOPOPULAR-E, S.A.",0229
83,POPUESMMXXX,"BANCO POPULAR ESPAÑOL, S.A.",0075
84,PRABESMMXXX,"COOPERATIEVE CENTRALE RAIFFEISEN- BOERENLEENBANK B.A. (RABOBANK NEDERLAND), SUCURSAL EN ESPAÑA",1459
85,PROAESMMXXX,"EBN BANCO DE NEGOCIOS, S.A.",0211
86,RENBESMMXXX,"RENTA 4 BANCO, S.A.",0083
87,RENTESMMXXX,"RENTA 4 SOCIEDAD DE VALORES, S.A.",3501
88,SOGEESMMAGM,"SOCIETE GENERALE, SUCURSAL EN ESPAÑA",0108
89,UBIBESMMXXX,"UBI BANCA INTERNATIONAL, S.A., SUCURSAL EN ESPAÑA",1524
90,UBSWESMMNPB,"UBS BANK, S.A.",0226
91,UCJAES2MXXX,"UNICAJA BANCO, S.A.",2103
92,WELAESMMFUN,"PORTIGON AG, SUCURSAL EN ESPAÑA",0196
93,XBCNESBBXXX,"SOCIEDAD RECTORA BOLSA VALORES DE BARCELONA, S.A., S.R.B.V.",9091
94,XRBVES2BXXX,"SOCIEDAD RECTORA BOLSA DE VALORES DE BILBAO, S.A., S.R.B.V.",9092
95,XRVVESVVXXX,"SOCIEDAD RECTORA BOLSA VALORES DE VALENCIA, S.A., S.R.B.V.",9093
