idfiltro,Codusu,verfiltro,orden
1354,0,0,85
1355,0,0,86
1356,0,0,87
1357,0,0,88
1358,0,0,89
1362,0,0,24
1363,0,1,2
1364,0,0,40
1365,0,0,37
1366,0,0,47
1367,0,1,1
1368,0,0,33
1369,0,0,16
1370,0,1,4
1371,0,0,23
1372,0,0,48
1373,0,0,41
1374,0,0,16
1375,0,0,38
1376,0,0,51
1377,0,0,28
1378,0,0,12
1379,0,0,48
1380,0,0,19
1381,0,0,25
1382,0,0,50
1383,0,0,11
1384,0,0,27
1385,0,0,20
1386,0,0,28
1387,0,0,26
1388,0,0,27
1389,0,0,14
1390,0,0,15
1391,0,0,16
1392,0,0,17
1393,0,0,18
1394,0,0,35
1395,0,0,41
1396,0,0,44
1397,0,0,41
1398,0,0,42
1399,0,0,43
1400,0,0,21
1401,0,0,45
1402,0,0,46
1403,0,0,47
1404,0,0,48
1405,0,0,49
1406,0,0,50
1407,0,0,51
1408,0,0,52
1409,0,0,53
1410,0,0,54
1411,0,0,55
1412,0,0,56
1413,0,0,57
1414,0,0,58
1415,0,0,59
1416,0,0,60
1417,0,0,61
1418,0,0,62
1419,0,0,63
1420,0,0,64
1421,0,0,65
1422,0,0,66
1423,0,0,67
1424,0,0,68
1425,0,0,69
1426,0,0,70
1427,0,0,71
1428,0,0,72
1429,0,0,73
1430,0,0,74
1431,0,0,75
1432,0,0,76
1433,0,0,77
1434,0,0,78
1435,0,0,79
1436,0,0,80
1437,0,0,81
1438,0,0,82
1439,0,0,83
1440,0,0,84
1441,0,0,85
1442,0,0,86
1444,0,1,9
1445,0,1,8
1446,0,1,4
1447,0,1,6
1448,0,1,5
1450,0,1,4
1451,0,0,10
1454,0,0,43
1455,0,0,1
1456,0,1,1
1457,0,0,37
1458,0,1,3
1459,0,1,4
1460,0,1,2
1461,0,0,49
1462,0,0,7
1463,0,0,66
1464,0,0,8
1465,0,0,42
1466,0,0,28
1467,0,0,29
1468,0,0,30
1469,0,0,31
1470,0,0,32
1471,0,0,33
1472,0,0,34
1473,0,0,35
1474,0,0,36
1475,0,0,37
1476,0,0,38
1477,0,0,39
1478,0,0,40
1479,0,0,41
1480,0,0,42
1481,0,0,43
1482,0,0,44
1483,0,0,45
1484,0,0,46
1485,0,0,47
1486,0,0,20
1487,0,0,26
1488,0,0,27
1489,0,0,28
1490,0,0,29
1491,0,0,30
1492,0,0,31
1493,0,0,32
1494,0,0,33
1495,0,0,21
1496,0,0,22
1497,0,0,23
1498,0,0,24
1499,0,0,25
1500,0,0,62
1501,0,0,63
1502,0,0,64
1503,0,0,65
1504,0,0,66
1505,0,0,67
1506,0,0,68
1507,0,0,69
1508,0,0,13
1509,0,0,14
1510,0,0,15
1511,0,0,16
1512,0,0,17
1513,0,0,18
1514,0,0,19
1515,0,0,10
1516,0,0,93
1517,0,0,8
1518,0,0,47
1519,0,0,55
1520,0,0,39
1521,0,0,50
1522,0,0,35
1523,0,0,49
1528,0,0,34
1531,0,0,67
1532,0,0,56
1533,0,0,14
1534,0,0,51
1535,0,0,52
1536,0,0,17
1537,0,0,62
1538,0,0,19
1539,0,0,20
1540,0,0,21
1541,0,0,41
1542,0,0,40
1543,0,0,58
1544,0,0,59
1545,0,0,63
1546,0,0,27
1582,0,1,1
1583,0,1,0
1584,0,0,11
1585,0,0,13
1586,0,0,17
1587,0,1,0
1588,0,1,6
1589,0,1,3
1590,0,1,9
1591,0,1,2
1592,0,0,15
1593,0,1,7
1594,0,1,8
1595,0,1,4
1596,0,1,10
1597,0,0,12
1598,0,1,1
1599,0,1,5
1607,0,0,77
1608,0,0,78
1609,0,0,79
1610,0,0,80
1611,0,0,81
1612,0,0,64
1618,0,0,147
1620,0,0,47
1621,0,0,48
1622,0,0,84
1624,0,0,127
1625,0,0,38
1626,0,0,86
1627,0,0,87
1628,0,0,41
1630,0,0,39
1632,0,0,19
1641,0,1,3
1642,0,0,30
1643,0,1,5
1644,0,0,22
1645,0,0,38
1646,0,0,92
1647,0,0,65
1648,0,0,61
1649,0,0,53
1650,0,0,96
1651,0,0,97
1652,0,0,98
1653,0,0,99
1654,0,0,100
1655,0,0,101
1656,0,0,89
1658,0,0,60
1659,0,0,88
1660,0,0,60
1661,0,0,44
1662,0,0,25
1663,0,0,13
1664,0,0,54
1665,0,0,34
1666,0,0,57
1670,0,0,5
1671,0,0,8
1672,0,0,11
1673,0,0,14
1674,0,0,16
1675,0,0,3
1676,0,1,1
1677,0,0,21
1678,0,0,22
1679,0,0,30
1680,0,0,31
1681,0,1,0
1682,0,0,12
1683,0,0,13
1684,0,0,26
1685,0,0,27
1686,0,0,32
1687,0,1,2
1688,0,0,25
1689,0,0,33
1690,0,0,35
1691,0,0,9
1692,0,0,55
1693,0,0,29
1694,0,0,26
1695,0,0,29
1696,0,0,43
