idfiltro,Codusu,verfiltro,orden
4170,0,1,9
4171,0,0,18
4172,0,1,9
4173,0,1,10
4175,0,0,21
4176,0,0,61
4245,0,0,33
4248,0,0,16
4249,0,0,14
4263,0,0,63
4264,0,0,62
4265,0,0,36
4268,0,0,46
4270,0,0,15
4273,0,0,52
4274,0,0,53
4277,0,0,20
4279,0,0,48
4282,0,0,64
4284,0,0,14
4285,0,0,15
4293,0,0,64
4294,0,1,5
4295,0,0,60
4296,0,0,43
4297,0,0,6
4298,0,0,13
4300,0,0,4
4301,0,0,10
4302,0,0,6
4303,0,0,2
4304,0,0,5
4310,0,0,56
4321,0,0,16
4322,0,0,20
4323,0,0,31
4326,0,0,11
4330,0,0,99
4339,0,1,8
4340,0,1,2
4341,0,1,5
4342,0,1,3
4343,0,1,0
4344,0,1,1
4345,0,1,4
4346,0,1,6
4347,0,1,7
4348,0,0,9
4349,0,0,10
4350,0,0,11
4351,0,0,12
4352,0,0,13
4353,0,0,14
4354,0,0,15
4355,0,0,25
4356,0,0,16
4357,0,0,17
4358,0,0,18
4359,0,0,19
4360,0,0,20
4361,0,0,21
4363,0,0,17
4364,0,0,25
4365,0,0,16
4366,0,0,21
4367,0,0,18
4368,0,0,33
4372,0,0,13
4373,0,0,20
4378,0,0,17
4379,0,0,18
4381,0,0,20
4382,0,0,12
4455,0,0,2
4456,0,1,0
4457,0,1,1
4458,0,1,2
4459,0,1,0
4460,0,1,1
4461,0,1,3
4462,0,1,4
4463,0,0,23
4468,0,0,39
4471,0,0,87
4473,0,1,8
4572,0,0,83
4573,0,0,49
4574,0,0,92
4575,0,0,39
4578,0,0,19
4594,0,0,16
4595,0,0,15
4598,0,0,44
4599,0,0,43
4602,0,0,10
4603,0,0,9
4606,0,0,8
4607,0,0,7
4610,0,0,20
4611,0,0,19
4626,0,0,22
4627,0,0,21
4630,0,0,10
4631,0,0,9
4640,0,0,27
4641,0,0,26
4642,0,0,77
4644,0,0,41
4645,0,0,86
4646,0,0,94
4647,0,0,22
4649,0,0,7
4650,0,1,5
4651,0,1,6
4671,0,0,40
4672,0,0,65
4673,0,0,33
4675,0,0,15
4677,0,1,0
4678,0,0,22
4683,0,1,0
4685,0,1,1
4686,0,1,2
4687,0,1,3
4688,0,0,5
4689,0,1,4
4690,0,1,0
4691,0,1,1
4692,0,0,17
4693,0,1,2
4694,0,1,3
4695,0,1,4
4696,0,1,5
4697,0,1,6
4698,0,1,8
4699,0,1,7
4700,0,1,9
4701,0,0,18
4702,0,0,19
4704,0,0,20
4705,0,0,21
4706,0,0,22
4707,0,0,23
4708,0,0,24
4709,0,0,25
4710,0,0,26
4711,0,0,27
4712,0,0,10
4713,0,0,13
4714,0,0,14
4715,0,0,12
4716,0,0,11
4717,0,0,15
4721,0,0,16
4726,0,0,47
4728,0,0,24
4729,0,0,8
4735,0,0,13
4736,0,0,57
4737,0,0,45
4738,0,0,46
4739,0,0,7
4740,0,0,29
4741,0,0,14
4742,0,0,56
4745,0,0,12
4746,0,0,29
4747,0,0,5
4748,0,0,35
4749,0,0,23
4750,0,0,24
4762,0,0,58
4765,0,0,23
4766,0,0,24
4768,0,0,42
4796,0,0,37
4800,0,0,49
4801,0,0,25
4802,0,0,28
4803,0,0,33
4804,0,0,55
4805,0,0,15
4809,0,0,9
4810,0,0,13
4811,0,0,16
4824,0,0,14
4825,0,0,7
4826,0,0,14
4827,0,0,24
4831,0,0,4
4832,0,0,17
4858,0,0,38
4904,0,0,52
4905,0,0,51
5062,0,0,32
3800025,0,0,26
3800026,0,0,27
3800027,0,0,28
3800028,0,0,29
3800029,0,0,30
3800030,0,0,31
