id,codPermiso,codOpe,tipotabla,valor
6161,1,1,0,True
6175,2,1,0,True
6189,3,1,0,True
6203,4,1,0,True
6217,5,1,0,True
6231,6,1,0,True
6245,7,1,0,True
6259,8,1,0,True
6273,9,1,0,True
6287,10,1,0,True
6301,11,1,0,True
6315,12,1,0,True
6329,13,1,0,True
6343,14,1,0,True
6357,15,1,0,True
6371,16,1,0,True
6385,17,1,0,True
6399,18,1,0,True
6413,19,1,0,True
6427,20,1,0,True
6441,21,1,0,True
6455,22,1,0,True
6469,23,1,0,True
6483,24,1,0,True
6497,25,1,0,True
6511,26,1,0,True
6525,27,1,0,True
6539,28,1,0,True
6553,29,1,0,True
6567,30,1,0,True
6581,31,1,0,True
6595,32,1,0,True
6609,33,1,0,True
6623,34,1,0,True
6637,35,1,0,True
6651,36,1,0,True
6665,37,1,0,True
6679,38,1,0,True
6693,39,1,0,True
6707,40,1,0,True
6721,41,1,0,True
6735,42,1,0,True
6749,43,1,0,True
6763,44,1,0,True
6777,45,1,0,True
6791,46,1,0,True
6805,47,1,0,True
6819,48,1,0,True
6833,49,1,0,True
6847,50,1,0,True
6861,51,1,0,True
6875,52,1,0,True
6889,53,1,0,True
6903,54,1,0,True
6917,55,1,0,True
6931,56,1,0,True
6945,57,1,0,True
6959,58,1,0,True
6973,59,1,0,True
6987,60,1,0,True
7001,61,1,0,True
7015,62,1,0,True
7029,63,1,0,True
7043,64,1,0,True
7057,65,1,0,True
7071,66,1,0,True
7085,67,1,0,True
7099,68,1,0,True
7113,69,1,0,True
7127,70,1,0,True
7141,71,1,0,True
7155,72,1,0,True
7169,73,1,0,True
7183,74,1,0,True
7197,75,1,0,True
7211,76,1,0,True
7225,77,1,0,True
7239,78,1,0,True
7253,79,1,0,True
7267,80,1,0,True
7281,81,1,0,True
7295,82,1,0,True
7309,83,1,0,True
7323,84,1,0,True
7337,85,1,0,True
7351,86,1,0,True
7365,87,1,0,True
7379,88,1,0,True
6162,1,1,1,True
6176,2,1,1,True
6190,3,1,1,True
6204,4,1,1,True
6218,5,1,1,True
6232,6,1,1,True
6246,7,1,1,True
6260,8,1,1,True
6274,9,1,1,True
6288,10,1,1,True
6302,11,1,1,True
6316,12,1,1,True
6330,13,1,1,True
6344,14,1,1,True
6358,15,1,1,True
6372,16,1,1,True
6386,17,1,1,True
6400,18,1,1,True
6414,19,1,1,True
6428,20,1,1,True
6442,21,1,1,True
6456,22,1,1,True
6470,23,1,1,True
6484,24,1,1,True
6498,25,1,1,True
6512,26,1,1,True
6526,27,1,1,True
6540,28,1,1,True
6554,29,1,1,True
6568,30,1,1,True
6582,31,1,1,True
6596,32,1,1,True
6610,33,1,1,True
6624,34,1,1,True
6638,35,1,1,True
6652,36,1,1,True
6666,37,1,1,True
6680,38,1,1,True
6694,39,1,1,True
6708,40,1,1,True
6722,41,1,1,True
6736,42,1,1,True
6750,43,1,1,True
6764,44,1,1,True
6778,45,1,1,True
6792,46,1,1,True
6806,47,1,1,True
6820,48,1,1,True
6834,49,1,1,True
6848,50,1,1,True
6862,51,1,1,True
6876,52,1,1,True
6890,53,1,1,True
6904,54,1,1,True
6918,55,1,1,True
6932,56,1,1,True
6946,57,1,1,True
6960,58,1,1,True
6974,59,1,1,True
6988,60,1,1,True
7002,61,1,1,True
7016,62,1,1,True
7030,63,1,1,True
7044,64,1,1,True
7058,65,1,1,True
7072,66,1,1,True
7086,67,1,1,True
7100,68,1,1,True
7114,69,1,1,True
7128,70,1,1,True
7142,71,1,1,True
7156,72,1,1,True
7170,73,1,1,True
7184,74,1,1,True
7198,75,1,1,True
7212,76,1,1,True
7226,77,1,1,True
7240,78,1,1,True
7254,79,1,1,True
7268,80,1,1,True
7282,81,1,1,True
7296,82,1,1,True
7310,83,1,1,True
7324,84,1,1,True
7338,85,1,1,True
7352,86,1,1,True
7366,87,1,1,True
7380,88,1,1,True
6163,1,1,2,True
6177,2,1,2,True
6191,3,1,2,True
6205,4,1,2,True
6219,5,1,2,True
6233,6,1,2,True
6247,7,1,2,True
6261,8,1,2,True
6275,9,1,2,True
6289,10,1,2,True
6303,11,1,2,True
6317,12,1,2,True
6331,13,1,2,True
6345,14,1,2,True
6359,15,1,2,True
6373,16,1,2,True
6387,17,1,2,True
6401,18,1,2,True
6415,19,1,2,True
6429,20,1,2,True
6443,21,1,2,True
6457,22,1,2,True
6471,23,1,2,True
6485,24,1,2,True
6499,25,1,2,True
6513,26,1,2,True
6527,27,1,2,True
6541,28,1,2,True
6555,29,1,2,True
6569,30,1,2,True
6583,31,1,2,True
6597,32,1,2,True
6611,33,1,2,True
6625,34,1,2,True
6639,35,1,2,True
6653,36,1,2,True
6667,37,1,2,True
6681,38,1,2,True
6695,39,1,2,True
6709,40,1,2,True
6723,41,1,2,True
6737,42,1,2,True
6751,43,1,2,True
6765,44,1,2,True
6779,45,1,2,True
6793,46,1,2,True
6807,47,1,2,True
6821,48,1,2,True
6835,49,1,2,True
6849,50,1,2,True
6863,51,1,2,True
6877,52,1,2,True
6891,53,1,2,True
6905,54,1,2,True
6919,55,1,2,True
6933,56,1,2,True
6947,57,1,2,True
6961,58,1,2,True
6975,59,1,2,True
6989,60,1,2,True
7003,61,1,2,True
7017,62,1,2,True
7031,63,1,2,True
7045,64,1,2,True
7059,65,1,2,True
7073,66,1,2,True
7087,67,1,2,True
7101,68,1,2,True
7115,69,1,2,True
7129,70,1,2,True
