idcolumna,idgrupo,nombre,texto,campo,tipo,orden,imagenes,usarEtiquetasIni,tabla,desglosable,actualizable,campoVisualizacion,anchoPropio,tablaorigen,parteSql,parteSqlIdgestorbasedatos,parteSqlResto,verColumnaDefecto,visibleDashboard,disponible
3691,77,campofecha7,etiotrodatoscampofecha7|1,campofecha7,6,88,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.campofecha7,,,0,False,True
3692,77,campofecha8,etiotrodatoscampofecha8|1,campofecha8,6,89,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.campofecha8,,,0,False,True
3693,77,persofecha6,etiotrodatospersofecha6|1,persofecha6,6,90,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.persofecha6,,,0,False,True
3694,77,persofecha7,etiotrodatospersofecha7|1,persofecha7,6,91,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.persofecha7,,,0,False,True
3695,77,persofecha8,etiotrodatospersofecha8|1,persofecha8,6,92,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.persofecha8,,,0,False,True
3696,77,persofecha9,etiotrodatospersofecha9|1,persofecha9,6,93,,4,,0,0,verotrosdatos3trab[AND]!bMostrarSoloNombreTrabajadores,100,,C.persofecha9,,,0,False,True
3697,77,edad,Edad,edad,0,94,,0,,0,0,!bMostrarSoloNombreTrabajadores[AND]!VerEdadDesglosada[AND]tipoficherocli:1:bverotrosdatosedad,100,,(select CASE WHEN c.fechanacimiento IS NOT NULL and c.fechanacimiento < GETDATE() then c.edad else null end) as edad,,,0,False,True
3698,77,terceroPrincipal,Contacto,snombretercero,0,95,,0,,0,0,tipoficherocli:1:bverpestercerocli[AND]!bMostrarSoloNombreTrabajadores,150,,CT.snombrecli as snombretercero,,,0,False,True
3699,77,nacionalidad,Nacionalidad,nacionalidad,0,96,,0,,0,0,bvernacionalidadtrab,100,,C.nacionalidad,,,0,False,True
3700,77,Honorario/hora,Honorario/hora,honohora,8,97,,0,,0,0,bverhonohoratrabajador[AND]!bMostrarSoloNombreTrabajadores,100,,S.honohora,,,0,False,True
3701,77,Coste/hora,Coste/hora,costehora,8,98,,0,,0,0,bvercostehoratrabajador[AND]!bMostrarSoloNombreTrabajadores,100,,S.costehora,,,0,False,True
3702,76,Rzd,Rzd,acturealizada,1,22,,0,,0,0,,100,,,,,0,False,True
3703,78,Links,Links,,18,40,0,0,Links,0,0,desactivado,40,,,,,0,False,True
3704,78,codigo,Número,codigo,0,18,,0,,0,0,!bvercamponumerico,100,,C.codigo,,,0,False,True
3705,78,snombrecli,func:GetEtiqNombreCliente,snombrecli,0,0,,1,,0,0,,,,,,,1,True,False
3706,78,Centro,CentrosSingular,nombrecentro,0,18,,1,,0,0,bvercentros,100,,,,,0,False,True
3707,78,email,Correo Electrónico,email,0,4,,0,,0,0,,100,,,,,1,False,True
3708,78,stelefonocli,Teléfono,stelefonocli,0,2,,0,,0,0,,100,,,,,1,False,True
3709,78,telefono2,Teléfono 2,telefono2,0,18,,0,,0,0,,100,,,,,0,False,True
3710,78,telefono3,Teléfono 3,telefono3,0,18,,0,,0,0,,100,,,,,0,False,True
3711,78,smovilcli,Móvil,smovilcli,0,3,,0,,0,0,,100,,,,,1,False,True
3712,78,sfaxcli,clienfax,sfaxcli,0,18,,1,,0,0,,100,,,,,0,False,True
3713,78,snifcli,NIF/CIF,snifcli,0,1,,0,,0,0,,100,,,,,1,False,True
