id,dato,llave,valor,tabla
1,,estado,Abierta,oporcli
2,,estado,Cerrada,oporcli
3,,estado,Pospuesta,oporcli
4,,estado,Perdida,oporcli
5,,tipo,DESCUENTO,cuentas
6,,tipo,GASTO,cuentas
7,,tipo,HONORARIO,cuentas
8,,tipo,SUPLIDO,cuentas
245,0,122,1|4,FiltroConfigPersonal
246,0,123,1|5,FiltroConfigPersonal
247,0,129,1|6,FiltroConfigPersonal
248,0,252,1|7,FiltroConfigPersonal
249,0,125,1|8,FiltroConfigPersonal
250,0,126,1|9,FiltroConfigPersonal
251,0,251,1|10,FiltroConfigPersonal
252,0,242,1|11,FiltroConfigPersonal
253,0,243,1|12,FiltroConfigPersonal
254,0,244,1|13,FiltroConfigPersonal
255,0,245,1|14,FiltroConfigPersonal
256,0,127,1|15,FiltroConfigPersonal
257,0,128,1|16,FiltroConfigPersonal
258,0,246,1|17,FiltroConfigPersonal
259,0,247,1|18,FiltroConfigPersonal
260,0,253,0|19,FiltroConfigPersonal
261,0,248,0|20,FiltroConfigPersonal
262,0,249,0|21,FiltroConfigPersonal
263,0,250,0|22,FiltroConfigPersonal
264,0,117,0|30,FiltroConfigPersonal
265,0,118,0|31,FiltroConfigPersonal
266,0,119,0|32,FiltroConfigPersonal
267,0,130,0|33,FiltroConfigPersonal
268,0,131,0|34,FiltroConfigPersonal
269,0,132,0|35,FiltroConfigPersonal
270,0,133,0|36,FiltroConfigPersonal
271,0,121,0|37,FiltroConfigPersonal
272,0,13,2,ConsultaPersonal
273,0,14,3,ConsultaPersonal
274,0,15,4,ConsultaPersonal
275,0,16,5,ConsultaPersonal
276,0,17,6,ConsultaPersonal
313,,TipoFactura,Oficial,prevcobros
314,,TipoFactura,Proforma,prevcobros
315,,TipoFactura,Albarán,prevcobros
316,,TipoFactura,Presupuesto,prevcobros
317,,TipoFactura,Sin Facturar,prevcobros
319,0,6,202,DashboardDesglose
322,6|0,TabOrder,1,config
342,1|0,TabOrder,1,config
343,0,2,0,CombosDefecto
356,31|0,TabOrder,1,config
357,30|0,TabOrder,1,config
358,38|0,TabOrder,1,config
359,30|0,OpcionTipoVista,1,config
360,38|0,OpcionTipoVista,1,config
361,31|0,OpcionTipoVista,1,config
368,,tipo,articulo,cuentas
369,,tipo,varios,cuentas
370,,tipo,cobro,cuentas
371,,tipo,provision,cuentas
372,,tipo,PROVISION RECIBIDA,cuentas
373,,tipo,PROVISION SOLICITADA,cuentas
374,,tipodoc,oficial,cuentas
375,,tipodoc,proforma,cuentas
376,,tipodoc,presupuesto,cuentas
377,,tipodoc,albarán,cuentas
378,,tipodoc,pedido,cuentas
379,,tipodoc,órden de trabajo,cuentas
380,,destinotraspaso,factura,cuentas
381,,destinotraspaso,albarán,cuentas
382,,destinotraspaso,pedido,cuentas
383,,tipo,kit,cuentas
384,,tipo,ANTICIPO,cuentas
617,5,28,2,ConsultaGeneral
618,5,29,3,ConsultaGeneral
619,5,491,1|8,FiltroConfig
620,5,492,0|27,FiltroConfig
621,5,493,0|24,FiltroConfig
622,5,494,0|20,FiltroConfig
623,5,495,0|22,FiltroConfig
624,5,496,0|5,FiltroConfig
625,5,497,0|6,FiltroConfig
626,5,501,0|7,FiltroConfig
627,5,520,0|15,FiltroConfig
628,5,521,0|23,FiltroConfig
629,5,1443,0|25,FiltroConfig
630,5,66,1|0,FiltroConfig
631,5,414,0|12,FiltroConfig
632,5,70,1|0,FiltroConfig
633,5,71,1|1,FiltroConfig
634,5,72,0|14,FiltroConfig
635,5,73,1|4,FiltroConfig
636,5,486,0|28,FiltroConfig
637,5,74,0|26,FiltroConfig
638,5,75,0|17,FiltroConfig
639,5,76,0|16,FiltroConfig
642,5,77,1|6,FiltroConfig
643,5,78,1|7,FiltroConfig
644,5,79,0|9,FiltroConfig
645,5,80,0|21,FiltroConfig
646,5,81,0|19,FiltroConfig
647,5,82,0|18,FiltroConfig
648,5,83,1|5,FiltroConfig
649,5,85,0|10,FiltroConfig
650,5,84,0|11,FiltroConfig
651,5,69,0|12,FiltroConfig
652,5,68,0|13,FiltroConfig
691,,formacobro,cheque,prevcobros
813,,0,12/08/2019 14:59:38,UltimaActualizacionSuges
863,8,31,2,ConsultaGeneral
864,8,32,3,ConsultaGeneral
865,8,33,4,ConsultaGeneral
866,8,254,1|0,FiltroConfig
867,8,255,1|1,FiltroConfig
