NumCta,Descripcion,Descripcion2,tipoPGC
506,Intereses a corto plazo de empréstitos y otras emisiones análogas,,
5060000000,Intereses a corto plazo de empr?stitos y otras emisiones an?logas,,2
507,Dividendos de acciones o participaciones consideradas como pasivos financieros,,1
509,Valores negociables amortizados,,
5090000000,Obligaciones y bonos amortizados,,
5091000000,Obligaciones y bonos convertibles amortizados,,1
5095000000,Otros valores negociables amortizados,,
510,Deudas a corto plazo con entidades de crédito vinculadas,,
5103000000,"Deudas a corto plazo con entidades de crédito, empresas del grupo","Deudas a corto plazo con entidades de cr?dito, entidades del grupo",0
5104000000,"Deudas a corto plazo con entidades de crédito, empresas asociadas","Deudas a corto plazo con entidades de cr?dito, entidades asociadas",0
5105000000,Deudas a corto plazo con otras entidades de crédito vinculadas,,
511,"Proveedores de inmovilizado a corto plazo, partes vinculadas",,
5113000000,"Proveedores de inmovilizado a corto plazo, empresas del grupo","Proveedores de inmovilizado a corto plazo, entidades del grupo",0
5114000000,"Proveedores de inmovilizado a corto plazo, empresas asociadas","Proveedores de inmovilizado a corto plazo, entidades asociadas",0
5115000000,"Proveedores de inmovilizado a corto plazo, otras partes vinculadas",,
512,"Acreedores por arrendamiento financiero a corto plazo, partes vinculadas",,
5123000000,"Acreedores por arrendamiento financiero a corto plazo, empresas del grupo","Acreedores por arrendamiento financiero a corto plazo, entidades del grupo",0
5124000000,"Acreedores por arrendamiento financiero a corto plazo, empresas asociadas","Acreedores por arrendamiento financiero a corto plazo, entidades asociadas",0
5125000000,"Acreedores por arrendamiento financiero a corto plazo, otras partes vinculadas",,
513,Otras deudas a corto plazo con partes vinculadas,,
5133000000,Otras deudas a corto plazo con empresas del grupo,Otras deudas a corto plazo con entidades del grupo,0
5134000000,Otras deudas a corto plazo con empresas asociadas,Otras deudas a corto plazo con entidades asociadas,0
5135000000,Otras deudas a corto plazo con otras partes vinculadas,,
514,Intereses a corto plazo de deudas con partes vinculadas,,
5143000000,"Intereses a corto plazo de deudas, empresas del grupo","Intereses a corto plazo de deudas, entidades del grupo",0
5144000000,"Intereses a corto plazo de deudas, empresas asociadas","Intereses a corto plazo de deudas, entidades asociadas",0
5145000000,"Intereses a corto plazo de deudas, otras partes vinculadas",,
