id,codope,aplicacion,equipo,tipo,fecha,versionSO
72,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-11 09:37:00.617000,
73,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 09:37:08.737000,
74,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-11 13:07:59.770000,
75,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 13:08:19.437000,
76,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-11 15:26:23.340000,
77,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 16:51:07.277000,
78,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-15 19:36:56.163000,
79,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-15 19:38:44.860000,
80,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-16 08:19:39.720000,
81,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-16 08:19:46.690000,
82,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-16 13:10:16.010000,
83,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-16 13:10:20.403000,
84,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-16 16:11:32.020000,
85,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-16 16:11:38.357000,
86,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-16 19:33:03.607000,
87,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-16 19:33:10.027000,
88,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-17 08:51:57.173000,
89,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-17 08:52:06.040000,
90,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-17 12:02:17.803000,
91,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-18 17:57:25.697000,
92,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-18 20:36:19.130000,
93,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-18 20:36:24.047000,
94,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-19 18:23:38.537000,
95,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-19 18:23:46.620000,
96,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-22 14:07:06.523000,
97,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 14:31:56.710000,
98,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 14:32:43.060000,
99,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 14:36:05.170000,
100,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 15:08:21.440000,
101,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 15:31:17.130000,
102,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 15:33:05.140000,
103,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-22 16:59:15.513000,
104,1,AppAngular,MNCLOUDIIS02,0,2024-07-22 23:09:31.693000,
105,1,AppAngular,MNCLOUDIIS02,0,2024-07-23 11:04:15.797000,
106,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-30 13:59:05.743000,
107,1,AppAngular,MNCLOUDIIS02,0,2024-07-30 18:27:29.680000,
108,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-31 15:36:27.230000,
109,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-31 15:36:34.500000,
110,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-07-31 19:01:13.083000,
111,1,GestorConsultas:40,DESKTOP-D72E0H9,1,2024-07-31 19:38:22.347000,
112,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-01 09:27:46.723000,
113,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-01 09:28:09.413000,
114,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-01 11:07:25.960000,
115,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-01 11:07:50.253000,
116,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-01 11:07:56.587000,
117,1,AppAngular,MNCLOUDIIS02,0,2024-08-01 14:45:06.490000,
118,1,AppAngular,MNCLOUDIIS02,0,2024-08-07 12:15:17.493000,
119,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-08 11:18:07.667000,
120,1,AppAngular,MNCLOUDIIS02,0,2024-08-08 13:15:36.390000,
121,1,AppAngular,MNCLOUDIIS02,0,2024-08-08 13:16:14.970000,
122,1,AppAngular,MNCLOUDIIS02,0,2024-08-09 07:23:24.847000,
123,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-09 08:32:49.543000,
124,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-09 08:32:57.327000,
125,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-11 17:50:30.813000,
126,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-11 17:50:32.670000,
127,1,AppAngular,MNCLOUDIIS02,0,2024-08-12 10:42:30.687000,
128,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-12 13:53:50.840000,
129,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-12 13:53:58.220000,
130,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-08-12 18:39:37.417000,
131,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-13 10:02:58.460000,
132,1,AppAngular,MNCLOUDIIS02,0,2024-08-13 12:00:45.567000,
