id,nombre,texto,accion,campoVisualizacion,usarEtiquetasIni,idPadre,esConfiguracion,icono,orden,campoPermiso,tipoAcceso
252,Chequeo Contabilizado/Pendiente Contabilizar,Chequeo Contabilizado/Pendiente Contabilizar,AbrirTipoFichero|1162,False,0,86,0,,100,CuentaPer[AND]LibroDiario,
253,Chequeo Cuentas IVA/IRPF,Chequeo Cuentas IVA/IRPF,AbrirTipoFichero|1164,False,0,86,0,,110,CuentaPer[AND]LibroDiario,
254,Números no correlativos en Facturas Emitidas,Números no correlativos en Facturas Emitidas,AbrirTipoFichero|1047,False,0,86,0,,120,CuentaPer[AND]LibroDiario,
255,Fechas no correlativas en Facturas Emitidas,Fechas no correlativas en Facturas Emitidas,AbrirTipoFichero|1048,False,0,86,0,,130,CuentaPer[AND]LibroDiario,
256,Chequeo cuentas en Facturas Emitidas y Recibidas,Chequeo cuentas en Facturas Emitidas y Recibidas,AbrirTipoFichero|1049,False,0,86,0,,140,CuentaPer[AND]LibroDiario,
257,Chequeo NIF y cuentas contables no coinciden entre factura y diario,Chequeo NIF y cuentas contables no coinciden entre factura y diario,AbrirTipoFichero|1051,False,0,86,0,,150,CuentaPer[AND]LibroDiario,
258,Chequeo asientos que no tiene cubierta la contrapartida,Chequeo asientos que no tiene cubierta la contrapartida,AbrirTipoFichero|1052,False,0,86,0,,160,CuentaPer[AND]LibroDiario,
259,Chequeo descuadres ente cuota iva y base imponible de facturas y diario,Chequeo descuadres ente cuota iva y base imponible de facturas y diario,AbrirTipoFichero|1054,False,0,86,0,,170,CuentaPer[AND]LibroDiario,
260,Chequeo descuadres entre los totales de la factura emitida y los totales de los conceptos,Chequeo descuadres entre los totales de la factura emitida y los totales de los conceptos,AbrirTipoFichero|1053,False,0,86,0,,180,CuentaPer[AND]LibroDiario,
268,Control de Recordatorios Automáticos,Correos Automáticos,AbrirEjecutable|Recordatorios.exe,bverrecordatorios[AND]FORZARVISUALIZACIONPREMIUM[OR]esFreemium,0,1178,0,,30,,
272,Configuración de Cuentas,Correos automáticos,,,0,691,0,,50,,
273,SMS,SMS,AbrirEjecutableDelphi|ConfSMS.exe,bverrecordatorios[OR]esFreemium,0,272,0,,20,,
274,Correo,Correo,"AbrirEjecutable|Correo.exe,recordatorios",bverrecordatorios[OR]esFreemium,0,272,0,,10,,
283,Gestión de Acceso de Trabajadores,Gestión de Acceso de Trabajadores,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,usuarios",DELPHI,0,709,0,,171,,
284,Gestión de Acceso de Clientes,Acceso Web Clientes,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,clientes",bAccesoClientes,0,872,0,acceso_clientes_16x16,80,,
285,Gestión de Boletines Informativos,Gestión de Boletines Informativos,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,noticias",DELPHI,0,709,0,,172,,
286,Gestión de Documentos de Clientes,Gestión de Documentos de Clientes,AbrirDelphi|84,DELPHI,0,709,0,,173,,
288,Centros,Centros,AbrirTipoFichero|1026,bvercentros,0,175,0,,10,,
289,Tipos Expedientes Predefinidos,TipExpTituloPredef,AbrirTipoFichero|1062,bVerExpedientes[AND]bverexppredef,1,807,0,,10,,
292,Asuntos Predefinidos,Asuntos,AbrirTipoFichero|12,bVerExpedientes[AND]bvertipoasunto[AND]True,0,807,0,,30,TipoAsuPer,
293,Procedimientos Predefinidos,Procedimientos,AbrirTipoFichero|13,bVerExpedientes[AND]bverprocedimiento,0,807,0,,40,ProcediPer,
294,Tratamientos Predefinidos,Tratamientos,AbrirTipoFichero|1084,bverodontograma,0,810,0,,10,,
295,Actuaciones Predefinidas,Actuaciones,AbrirTipoFichero|1025,,0,808,0,,10,ActuPer,
297,Bonos Predefinidos,Bonos,"AbrirEjecutable|OtrosModulos.exe,BonosPredefinidos",VerSistemaBonos,0,815,0,,10,,
299,Honorarios Predefinidos,EtiqHonorariosPred,AbrirTipoFichero|1046,True[AND]bverhonopredef,1,811,0,,10,DerPer,
300,Suplidos Predefinidos,Suplidos,AbrirTipoFichero|1099,True[AND]bverprovsup,0,811,0,,30,SupliPer,
303,Gastos Predefinidos,Gastos,AbrirTipoFichero|1120,bVerFacturacion[AND]True[AND]bverfactrecibida,0,811,0,,20,FactPerRecibida,
304,Oportunidades Predefinidas,OporPredef,AbrirTipoFichero|1024,bveroportunidades[OR]bvercontrolventas,1,813,0,,10,,
313,Vencimientos Predefinidos,Vencimientos,AbrirDelphi|101,bverficvencimientos,0,816,0,,10,,
314,Ramos Predefinidos,Ramos,AbrirDelphi|102,bversegven,0,816,0,,20,,
315,Vacunas Predefinidas,Vacunas,"AbrirEjecutable|Pediatria.exe,-2",bVerPediatria,0,814,0,,10,,
319,Plantillas de Word,Plantillas de Word,AbrirTipoFichero|1194,bMostrarPlantillasWord,0,176,0,,30,,
320,Plantillas de Correo,Plantillas de Correo,"AbrirEjecutable|Correo.exe,plantillas,correo",bMostrarCorreo,0,176,0,,40,,
321,Plantillas de Whatsapp / SMS,func:etiqMenuPlantillasWhatsappSms,AbrirTipoFichero|1028,,1,176,0,,50,permisoAccion:VerModuloWhatsApp,
322,Plantillas de Notas,Plantillas de Notas,AbrirTipoFichero|1185,,0,176,0,,60,,
323,Plantillas de Doc. MN,Plantillas de Doc. MN,AbrirEjecutable|PlantillasHtml.exe,DELPHI,0,176,0,,70,,
324,Plantillas Predefinidas,Plantillas Predefinidas,"AbrirTipoFichero|1210,0",,0,176,0,,10,,
325,Datos Usuario / Trabajador,Datos Usuario / Trabajador,AbrirDelphi|110,!bocultperm[AND]esSupervisor,0,182,0,,10,CambiaPasswdPer,
326,Permisos  Usuarios / Trabajadores,Permisos  Usuarios / Trabajadores,AbrirDelphi|111,!bocultperm[AND]esSupervisor,0,182,0,,20,GesOperaPer,
327,Cambiar de Usuario / Trabajador Activo,Cambiar de Usuario / Trabajador Activo,AbrirDelphi|112,!bocultperm[AND]!esCloud,0,182,0,,30,OperadorActiPer[AND]OperadorActiPer,
328,Niveles Privacidad Fichas,Niveles de Seguridad,,bVerNivelesSeguridad,0,182,0,,40,,
351,Facturación,Facturación,,bVerFacturacion,0,0,0,facturacion_emitida_16x16,200,,
352,Tesorería,Tesorería,,bVerFacturacion[AND]True,0,0,0,cobros_16x16,210,,
353,Time Report,Time Report,,bVerTimeReport[OR]esFreemium,0,1176,0,,10,,
355,Informes,Informes,"AbrirModulo|39,1",bVerTimeReport[OR]esFreemium,0,353,0,,30,permisoAccion:TimeReportInformes,
356,Agenda,Agenda,AbrirEjecutable|Agenda.exe,bVerNuevaAgenda,0,39,0,,10,,
357,Control de Medicación,Control de Medicación,AbrirModulo|11,bverControlMedicacion,0,0,0,controlmedicacion_16x16,190,,
358,Backup Cloud,Backup Cloud,AbrirTipoFichero|1087,ComprobarEjecutable|MNBackupCloud.exe,0,118,0,,100,,
359,Escáner,Escáner,AbrirEjecutable|TwainGui.exe,bVerModuloEscaner,0,47,0,,20,,
360,Calendario Web (Acceso Profesores),Calendario Web (Acceso Profesores),,DELPHI,0,710,0,,146,,
361,Enviar Enlace,Enviar Enlace,,bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,529,0,,2,,
362,Correo,Correo,"AbrirTipoFichero|1072,0",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,361,0,,212,,
363,WhatsApp,WhatsApp,"AbrirTipoFichero|1073,0",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,361,0,,213,permisoAccion:VerModuloWhatsApp,
364,Cuentas,Cuentas,,bVerContabilidad[AND]True,0,79,0,,10,,
366,Balances P.G.C. Antiguo,Balances P.G.C. Antiguo,,bVerContabilidad[AND]True[AND]bverbalpgcantiguo,0,79,0,,70,,
367,Cierre/Apertura Ejercicio,Cierre/Apertura Ejercicio,,bVerContabilidad[AND]True,0,369,0,,10,,
368,Asientos Predefinidos,Asientos Predefinidos,AbrirTipoFichero|1171,bVerContabilidad[AND]True[AND]bVerDiario,0,369,0,,50,,
369,Utilidades,Utilidades,,bVerContabilidad[AND]True,0,79,0,,40,,
370,Conciliación,Conciliación,,bVerFacturacion[AND]True[AND]bverrecibrem,0,418,0,,20,FactPerEmitida,
371,Norma 19,Norma 19,AbrirDelphi|148,bVerFacturacion[AND]True[AND]bverrecibrem[AND]bverconciliacion19,0,370,0,,10,FactPerEmitida,
372,Norma 43,Norma 43,AbrirDelphi|149,bVerFacturacion[AND]True[AND]bverrecibrem[AND]bverconciliacion43,0,370,0,,20,FactPerEmitida,
373,Formación Bonificada,Formación Bonificada,,bverBonificacion,0,0,0,formacion_bonificada_16x16,150,,
374,Recetas Médicas,Recetas Médicas,AbrirTipoFichero|1193,bverReceta,0,732,0,,10,,
375,Cuentas,Cuentas,AbrirTipoFichero|1122,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,364,0,,10,CuentaPer,
376,Estructura PGC,Estructura PGC,AbrirTipoFichero|1147,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,364,0,,20,CuentaPer[AND]LibroDiario,
377,Config. Cuentas,Config. Cuentas,AbrirTipoFichero|1134,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,364,0,,30,ConfigCuenPer,
378,Tipos de Iva/Igic,Tipos de Iva/Igic,AbrirTipoFichero|1172,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,364,0,,40,tipoivaper,
379,Tipos de I.R.P.F.,Tipos de I.R.P.F.,AbrirTipoFichero|1173,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,364,0,,50,tipoirpfper,
380,Equivalencias P.G.C. 2008,Equivalencias P.G.C. 2008,AbrirDelphi|118,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC[AND]bverTraspaso,0,364,0,,60,CuentaPer,
381,Traspaso Cuentas P.G.C. 2008,Traspaso Cuentas P.G.C. 2008,AbrirDelphi|119,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC[AND]bverTraspaso,0,364,0,,70,CuentaPer,
382,Balance de Situación,Balance de Situación,AbrirDelphi|120,bverContPGC[AND]bverbalpgcantiguo,0,366,0,,10,,
383,Balance Sumas y Saldos,Balance Sumas y Saldos,AbrirDelphi|121,bverContPGC[AND]bverbalpgcantiguo,0,366,0,,20,,
384,Pérdidas y Ganancias,Pérdidas y Ganancias,AbrirDelphi|122,bverContPGC[AND]bverbalpgcantiguo,0,366,0,,30,,
385,Cierre Ejercicio,Cierre Ejercicio,AbrirTipoFichero|1131,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,367,0,,10,cierreper,
386,Invertir Cierre,Invertir Cierre,AbrirTipoFichero|1132,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,367,0,,20,cierreper,
387,Generar Asiento Apertura,Generar Asiento Apertura,AbrirTipoFichero|1135,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,367,0,,30,cierreper,
388,Invertir Apertura,Invertir Apertura,AbrirTipoFichero|1136,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,367,0,,40,cierreper,
389,Importar Cuentas,Importar Cuentas,AbrirTipoFichero|1137,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,367,0,,50,cierreper,
390,Gastos/Ingresos,Gastos/Ingresos,AbrirDelphi|128,DELPHI,0,368,0,,10,LibGasIngPer,
391,Nóminas,Nóminas,AbrirDelphi|129,DELPHI,0,368,0,,20,LibNominaPer,
392,Pago Seguros Sociales,Pago Seguros Sociales,AbrirDelphi|130,DELPHI,0,368,0,,30,LibSegurosPer,
393,Devengo Seguros Sociales,Devengo Seguros Sociales,AbrirDelphi|131,DELPHI,0,368,0,,40,LibDevengoPer,
394,Importación Contaplus,Importación Contaplus,AbrirEjecutableDelphi|ImpContaPlus.exe,ComprobarEjecutable|ImpContaPlus.exe[AND]bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,369,0,,60,CuentaPer[AND]LibroDiario,
395,Actualizar %IVA,Actualizar %IVA,AbrirTipoFichero|1177,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,369,0,,30,tipoivaper,
396,Actualizar %IRPF,Actualizar %IRPF,AbrirTipoFichero|1178,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,369,0,,40,tipoirpfper,
400,Actualizar Marca de Saldo,Actualizar Marca de Saldo,AbrirEjecutableDelphi|MarcaSaldo.exe,ComprobarEjecutable|MarcaSaldo.exe[AND]bverContPGC,0,369,0,,70,,
401,Eliminar Facturas Desvincular Cobros,Eliminar Facturas Desvincular Cobros,AbrirDelphi|138,bvereliminarfacturasnocobros,0,1094,0,,20,,
402,Eliminar duplicados de cobros de remesas,Eliminar duplicados de cobros de remesas,AbrirDelphi|139,bvereliminarcobrosduplicados,0,369,0,,80,,
403,Expedientes Predefinidos,Expedientes Predefinidos,AbrirTipoFichero|1062,bverBonificacion,0,373,0,,10,,
404,Generar XML,Generar XML,,bverBonificacion,0,373,0,,20,,
405,Acciones Formativas,Acciones Formativas,,bverBonificacion,0,404,0,,10,,
406,Inicio Curso,Inicio Curso,,bverBonificacion,0,404,0,,20,,
407,Fin Curso,Fin Curso,,bverBonificacion,0,404,0,,30,,
413,Odontograma,Odontograma,AbrirTipoFichero|1227,bverodontograma,0,147,0,,10,,
414,Control de Tratamientos,Control de Tratamientos,AbrirModulo|16,bvercontroltratamiento,0,147,0,,20,,
416,Control de Bonos,Control de Bonos,AbrirModulo|33,VerSistemaBonos,0,728,0,,10,,
417,Remesas,Remesas,,bVerFacturacion[AND]True[AND]bverrecibrem,0,352,0,,50,,
418,Utilidades,Utilidades,,bVerContabilidad[AND]True[AND]bverrecibrem[AND]bVerFacturacion[AND]bverContPGC,0,417,0,,30,FactPerEmitida,
419,Arqueo de Caja,Cierres de Caja,AbrirTipoFichero|1221,bverarqueo,0,352,0,,70,!bOcultarArqueoCaja,
422,Control PIA Historial,Control de Historial PIA,AbrirModulo|6,bVerPlanesTrabajo,0,907,0,,20,,
423,Control de Obligaciones,Control de Obligaciones,AbrirModulo|3,bverficobligaciones,0,0,0,obligaciones_16x16,241,,
424,Calificaciones,Calificaciones,,bverCalificacion,0,0,0,calificaciones_16x16,140,,
425,Cursos,Cursos,AbrirTipoFichero|991,,0,421,0,,329,,
426,Alumnos,EtiqAlumnosProp,AbrirTipoFichero|989,,1,421,0,,330,,
428,Libros,Libros,,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,81,0,,10,,
429,Enviar Enlace,Enviar Enlace,,VersionConCitaOnline,0,480,0,,20,,
430,Correo,Correo,AbrirTipoFichero|1082,VersionConCitaOnline,0,429,0,,10,,
431,WhatsApp,WhatsApp,AbrirTipoFichero|1083,VersionConCitaOnline[AND]bVerWhatsapp[AND]FORZARVISUALIZACIONPREMIUM,0,429,0,,20,permisoAccion:VerModuloWhatsApp,
432,Lexnet,Lexnet,,ComprobarEjecutable|Lexnet.exe[AND]bVerLexnet,0,0,0,lexnet_16x16,90,,
433,Historial de Fichajes,Historial de Fichajes,"AbrirModulo|39,2",bWorkControlHorario,0,191,0,,20,permisoAccion:ControlHorarioHistorialFichajes,
434,Libros/Modelos AEAT,Libros/Modelos AEAT,,DELPHI,0,351,0,,50,,
435,Cobros a Aseguradora,Cobros a Aseguradora,AbrirModulo|61,bVerFacturacion[AND]bvermutua,0,352,0,,20,,
436,Bienes Inversión/Amortizaciones,Bienes Inversión/Amortizaciones,AbrirTipoFichero|1166,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bverbienes,0,73,0,,60,FactPerRecibida,
438,Libro de IVA por Tipo de Operación,Libro de IVA por Tipo de Operación,AbrirTipoFichero|1085,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,444,0,,50,permisoAccion:VerLibrosFacturacion,
442,Nuevos Libros/Modelos AEAT,Libros/Modelos AEAT,,!bOcultarModelosAEAT[AND]bMostarModelosAEATFactu,0,351,0,,50,,
443,Modelos,Modelos,,!bOcultarModelosAEAT,0,442,0,,10,,
444,Libros,Libros,,,0,442,0,,20,,
445,Libro de Provisiones y Suplidos,Libro de Provisiones y Suplidos,AbrirTipoFichero|1088,bverprovsup,0,444,0,,10,permisoAccion:VerLibrosFacturacion,
446,Depuración,Depuración,,False,0,721,0,,60,,
447,Fusionar Fichas Duplicadas,Fusionar Fichas Duplicadas,AbrirTipoFichero|1090,bMostrarFusionFichas,0,721,0,,70,,
448,Libro de Ingresos/Facturas Emitidas,Libro de Ingresos/Facturas Emitidas,AbrirTipoFichero|1091,,0,444,0,,20,permisoAccion:VerLibrosFacturacion,
449,Declaración Mod. 347,Declaración Mod. 347,AbrirTipoFichero|1092,,0,444,0,,30,permisoAccion:VerLibrosFacturacion,
450,Control de Asistencia,Control de Asistencias,AbrirModulo|0,bvercontrolAsistencia,0,129,0,,10,,
451,Reserva Online,Reserva Online,,DELPHI,0,127,0,,10,,
452,Calendario Web y Asistencia,Calendario Web y Asistencia,AbrirTipoFichero|1064,DELPHI,0,360,0,,1667,,
453,Seguimiento,Seguimiento,AbrirTipoFichero|1065,DELPHI,0,360,0,,1668,,
454,Nueva Firma,Nueva Firma,,bVerMNDocSign,0,110,0,,20,,
455,Control de Firmas Electrónicas,Control de Firmas Electrónicas,AbrirTipoFichero|1003,bVerMNDocSign,0,110,0,,30,,
456,Certificado Digital,Certificado Digital,FirmaMN|1,bVerMNDocSign,0,454,0,,10,,
457,Firma Wacom,Firma Wacom,FirmaMN|2,bVerMNDocSign,0,454,0,,20,,
458,Tablet/Móvil,Tablet/Móvil,FirmaMN|3,bVerFirmaTablet,0,454,0,,30,,
459,MN Accept,MN Sign,,DELPHI,0,675,0,,50,,
460,Accept Adjunto por Correo,Sign de Adjunto por Correo,FirmaMN|4,VerMailAccept,0,508,0,,30,,
461,Accept Adjunto por Whatsapp,Sign de Adjunto por Whatsapp,FirmaMN|5,VerMailAccept[AND]bVerWhatsapp,0,508,0,,40,permisoAccion:VerModuloWhatsApp,
462,Accept de Correo,Sign de Correo,FirmaMN|6,VerMailAccept,0,508,0,,10,,
463,Accept de Whatsapp,Sign de Whatsapp,FirmaMN|7,VerMailAccept[AND]bVerWhatsapp,0,508,0,,20,permisoAccion:VerModuloWhatsApp,
464,Nóminas,Nóminas,,DELPHI,0,73,0,,80,FactPerRecibida,
465,Alta Nómina,Alta Nómina,AbrirDelphi|157,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bvernominas,0,464,0,,1988,FactPerRecibida,
466,Devengo Seguros Sociales,Devengo Seguros Sociales,AbrirDelphi|158,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bvernominas,0,464,0,,1989,FactPerRecibida,
467,Pagos Seguros Sociales,Pagos Seguros Sociales,AbrirDelphi|159,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bvernominas,0,464,0,,1990,FactPerRecibida,
468,Atajos Envío Correo,Atajos Envío Correo,AbrirTipoFichero|1094,MostrarRpaAtajosEnvioCorreo,0,540,0,,292,,
469,Pruebas Médicas Predefinidas,Pruebas Médicas,AbrirTipoFichero|1095,MostrarHistoriaClinica,0,809,0,,10,,
476,Todos los CMI,Cuadros de Informes,"AbrirEjecutable|CuadroMandos.exe,--miCMI=1",bVerCuadroMandos[OR]esFreemium,0,106,0,,20,,
477,Generar Igualas (Servicios),GenerarServicios,AbrirTipoFichero|1098,bMostrarServiciosCli,1,352,0,,60,,
480,Reserva de Agenda,Reserva de Agenda,,VersionConCitaOnline,0,166,0,,10,,
481,Reserva de Clases,Reserva de Clases,,VersionConCitaOnline[AND]bcontrolcursos[AND]FORZARVISUALIZACIONPREMIUM,0,166,0,,30,,
482,Configurar Web,Configurar Web,AbrirTipoFichero|1101,VersionConCitaOnline[AND]bcontrolcursos,0,481,0,,10,,
483,Enviar Enlace,Enviar Enlace,,VersionConCitaOnline[AND]bcontrolcursos,0,481,0,,20,,
484,Correo,Correo,AbrirTipoFichero|1102,VersionConCitaOnline[AND]bcontrolcursos,0,483,0,,10,,
485,WhatsApp,WhatsApp,AbrirTipoFichero|1103,VersionConCitaOnline[AND]bcontrolcursos[AND]bVerWhatsapp[AND]FORZARVISUALIZACIONPREMIUM,0,483,0,,20,permisoAccion:VerModuloWhatsApp,
486,Reserva de Cursos,Reserva de Cursos,,VersionConCitaOnline[AND]VerExpedientes[AND]bcontrolcursos[AND]FORZARVISUALIZACIONPREMIUM,0,166,0,,20,,
487,Configurar Web,Configurar Web,AbrirTipoFichero|1104,VersionConCitaOnline[AND]VerExpedientes[AND]bcontrolcursos,0,486,0,,10,,
488,Enviar Enlace,Enviar Enlace,,VersionConCitaOnline[AND]VerExpedientes[AND]bcontrolcursos,0,486,0,,20,,
489,Correo,Correo,AbrirTipoFichero|1105,VersionConCitaOnline[AND]VerExpedientes[AND]bcontrolcursos,0,488,0,,10,,
490,WhatsApp,WhatsApp,AbrirTipoFichero|1106,VersionConCitaOnline[AND]VerExpedientes[AND]bcontrolcursos[AND]bVerWhatsapp[AND]FORZARVISUALIZACIONPREMIUM,0,488,0,,20,permisoAccion:VerModuloWhatsApp,
491,Reserva de Tareas,Reserva de Tareas,,DELPHI,0,166,0,,40,,
492,Configurar Web,Configurar Web,AbrirTipoFichero|1107,bMostrarCitaOnlineTareas,0,491,0,,10,,
493,Enviar Enlace,Enviar Enlace,,bMostrarCitaOnlineTareas,0,491,0,,20,,
494,Correo,Correo,AbrirTipoFichero|1108,bMostrarCitaOnlineTareas,0,493,0,,10,,
495,WhatsApp,WhatsApp,AbrirTipoFichero|1109,bMostrarCitaOnlineTareas[AND]bVerWhatsapp[AND]FORZARVISUALIZACIONPREMIUM,0,493,0,,20,permisoAccion:VerModuloWhatsApp,
497,Enlaces Externos,Enlaces Externos,,,0,721,0,,70,,
498,Configurar,Configurar,AbrirTipoFichero|1086,,0,497,0,,10,,
500,Configurar Niveles,Configurar Niveles,AbrirTipoFichero|1035,!bocultperm,0,328,0,,10,,
501,Desbloquear Niveles,Desbloquear Niveles,AbrirTipoFichero|1110,!bocultperm,0,328,0,,20,,
503,Tareas Predefinidas,TareasPl,AbrirTipoFichero|1033,bVerAtencionCliente[AND]!bVerTareasSubtareas[AND]bMostrarPlanificacionTareas,1,812,0,,10,,
504,Pedidos Predefinidos,ComprasPredef,AbrirTipoFichero|1112,bVerModuloCompra,1,812,0,,40,,
508,Enviar MN Accept,Enviar MN Sign,,VerMailAccept[AND]!bAsistenteMNSign[AND]FORZARVISUALIZACIONPREMIUM,0,459,0,,10,,
509,Control de MN Accept,Control de MN Sign,AbrirTipoFichero|1003,VerMailAccept,0,675,0,,20,,
510,Permisos,Permisos,AbrirTipoFichero|1119,bModuloPermisosNet,0,118,0,,20,,
511,NivelesSeguridad,Niveles de Seguridad,AbrirTipoFichero|1035,bVerNivelesSeguridad,0,118,0,,50,,
512,ConfigurarNivelesSeg,Configurar,AbrirTipoFichero|1035,DELPHI,0,511,0,,10,,
513,Modelo 347,Modelo 347,AbrirTipoFichero|1121,,0,443,0,,80,permisoAccion:VerModelosAEATFactu,
515,Modelo 696,Modelo 696,AbrirTipoFichero|1123,bVerModelo696,0,443,0,,110,permisoAccion:VerModelosAEATFactu,
516,Modelo111,Modelo 111,AbrirTipoFichero|1128,,0,443,0,,10,permisoAccion:VerModelosAEATFactu,
517,Modelo 115,Modelo 115,AbrirTipoFichero|1124,,0,443,0,,20,permisoAccion:VerModelosAEATFactu,
518,Atajos Envío Whatsapp,Atajos Envío Whatsapp,AbrirTipoFichero|1125,MostrarRpaAtajosEnvioCorreo,0,540,0,,293,permisoAccion:VerModuloWhatsApp,
519,Atajos Imprimir Plantilla,Atajos Imprimir Plantilla,AbrirTipoFichero|1126,MostrarRpaAtajosEnvioCorreo,0,540,0,,294,,
520,Gestión de Accesos,Gestión de Accesos,,False,0,118,0,,60,GesOperaPer,
521,Operadores,Usuarios,AbrirTipoFichero|1127,bvertrabajador[AND](esSupervisor[OR]!bocultperm),0,118,0,,10,GesOperaPer,
525,Modelo 130,Modelo 130,AbrirTipoFichero|1138,,0,443,0,,30,permisoAccion:VerModelosAEATFactu,
526,Modelo 180,Modelo 180,AbrirTipoFichero|1139,,0,443,0,,40,permisoAccion:VerModelosAEATFactu,
527,Modelo 303,Modelo 303,AbrirTipoFichero|1146,,0,443,0,,70,permisoAccion:VerModelosAEATFactu,
528,Modelo 349,Modelo 349,AbrirTipoFichero|1148,,0,443,0,,90,permisoAccion:VerModelosAEATFactu,
529,Formularios de Registro,Formularios de Registro,,DELPHI,0,168,0,,10,,
530,Formularios de Solicitud de Información,Formularios de Solicitud de Información,,DELPHI,0,168,0,,30,,
531,Formularios de Venta,Formularios de Venta,,DELPHI,0,168,0,,20,,
532,Configurar Webs,Formularios de Solicitud de Información,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,formulariosregistro,1",bVerModuloFormulariosClientes[AND]FORZARVISUALIZACIONPREMIUM[AND]bVerFormulariosSolicitudInfo,0,168,0,,20,,
533,Enviar Enlace,Enviar Enlace,,bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,530,0,,2,,
534,Correo,Correo,"AbrirTipoFichero|1072,1",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,533,0,,288,,
535,WhatsApp,WhatsApp,"AbrirTipoFichero|1073,1",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,533,0,,289,permisoAccion:VerModuloWhatsApp,
536,Configurar Webs,Formularios de Venta,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,formulariosregistro,2",bVerModuloFormulariosClientes[AND]FORZARVISUALIZACIONPREMIUM[AND]bVerFormulariosVenta,0,168,0,,30,,
537,Enviar Enlace,Enviar Enlace,,bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,531,0,,2,,
538,Correo,Correo,"AbrirTipoFichero|1072,2",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,537,0,,290,,
539,WhatsApp,WhatsApp,"AbrirTipoFichero|1073,2",bMostrarOficinaVirtual[AND]bVerModuloFormulariosClientes,0,537,0,,291,permisoAccion:VerModuloWhatsApp,
540,Atajos RPA,Atajos RPA,,MostrarRpaAtajosEnvioCorreo,0,691,0,,1,,
541,RPA Adjuntos,RPA Adjuntos,,DELPHI,0,690,0,,70,,
542,Capturar Adjuntos,Robot Archivador,AbrirTipoFichero|1133,MostrarRpaCapturarAdjuntos,0,1177,0,,10,,
543,Configurar RPA Capturar Adjuntos,Configuraciones,AbrirTipoFichero|1151,MostrarRpaAtajosEnvioCorreo,0,693,0,,1,,
544,Facturación Recibida,Facturación Recibida BETA,,DELPHI,0,351,0,,296,FactPerRecibida,
545,Facturas Recibidas,Facturas Recibidas,AbrirModulo|48,bVerFacturacion[AND]True[AND]bverfactrecibida,0,544,0,,296,FactPerRecibida,
546,Albaranes Recibidos,Albaranes Recibidos,AbrirModulo|59,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bverFRAlbaran,0,544,0,,2,FactPerRecibida,
547,Pagos,Pagos,AbrirModulo|60,bVerFacturacion[AND]True[AND]bverfactrecibida,0,544,0,,297,FactPerRecibida,
548,Contabilidad,Contabilidad BETA,,DELPHI,0,0,0,contabilidad_16x16,297,,
549,Diario,Diario,AbrirModulo|58,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,548,0,,298,LibroDiario,
550,Libro Mayor,Libro Mayor,AbrirTipoFichero|1140,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,548,0,,299,ListMayorPer,
