guid,caducidad,usuario,rutacompleta
8c3c21a4-c2cf-477b-a990-2321949a9dc5,2025-05-16 16:00:00,Supervisor,2|segcli|10141|6
8cc11bcb-1625-4c54-b7c1-10cc6f50d22d,2025-05-16 11:00:00,Supervisor,2|segcli|10236|6
8d984530-747c-4104-9e67-c9003119257e,2022-10-25 11:16:00,Supervisor,1|segcli|1488|2
9416cb54-dc1d-41de-9980-85aef99c02c8,2025-05-29 12:00:00,Supervisor,2|segcli|10327|2
9ebe78db-ae4a-46e2-bdcc-f9242083c325,2025-05-16 17:00:00,Supervisor,2|segcli|10126|6
a3330180-8d92-49fa-bea4-d11e4ee11ef5,2025-05-15 20:00:00,Supervisor,2|segcli|10280|6
ac57cc09-249f-434f-ac4b-944ba305fb0b,2025-05-29 13:00:00,Supervisor,2|segcli|10328|6
b3c048d0-ceec-4fe0-8270-b7cba8880235,2025-05-16 18:00:00,Supervisor,2|segcli|10330|6
b74b823e-c399-4fc4-8fef-19375a9c6f49,2025-05-16 16:00:00,Supervisor,2|segcli|10297|6
b86f9dd5-3593-4325-8a80-86d928ef26f5,2025-03-20 19:00:00,Supervisor,2|segcli|8878|6
b9080ca0-fc14-4d49-a2a4-a3956c075d02,2025-05-16 15:00:00,Supervisor,2|segcli|10202|6
b95497ae-f5e7-4f4e-9cf5-63de52ebff47,2025-10-27 12:00:00,Supervisor,2|segcli|13772|6
c19013a3-afe1-430e-9cde-9d03dd4e3a9c,2025-05-15 20:00:00,Supervisor,2|segcli|10280|2
c235fd77-dccf-413e-a6c0-810448829fcf,2025-05-16 17:00:00,Supervisor,2|segcli|10329|6
c6a202eb-0119-4bc8-b48d-543dd4c15203,2025-03-20 16:00:00,Supervisor,2|segcli|8920|2
c9f25c1e-7dcc-4078-883f-ad8b8205a551,2025-05-29 12:00:00,Supervisor,2|segcli|10327|6
cd0965d6-0b82-432f-8270-94241e87cadd,2025-05-16 12:00:00,Supervisor,2|segcli|10309|2
d216030d-bca7-464f-afe6-85f3ead1c1f8,2025-03-20 16:00:00,Supervisor,2|segcli|8920|6
db49d448-3e2b-448e-a383-5866ef13227d,2025-05-16 12:00:00,Supervisor,2|segcli|10255|2
de3aab14-24d8-4e3f-8576-b18b0d704037,2025-03-20 19:00:00,Supervisor,2|segcli|8878|2
e0b90e1e-23af-483b-b9dd-fda15a4c0a80,2025-05-16 19:00:00,Supervisor,2|segcli|10323|2
e6736735-9b00-49d7-a5a7-8812aa05cc31,2025-05-16 11:00:00,Supervisor,2|segcli|10236|2
e73e7986-5ca6-4dbf-a2fc-bd9fbbbb6980,2024-11-05 11:00:00,Supervisor,2|segcli|6432|6
eb05e763-c1f3-45e3-8c4e-3bcd079e430d,2025-03-20 17:00:00,Supervisor,2|segcli|8646|6
f0f07504-c5d3-4e61-9cb0-1e80479e94a7,2025-03-20 16:30:00,Supervisor,2|segcli|9044|2
f648d661-93e7-4a55-839b-88b5dbb13dfb,2025-05-16 16:00:00,Supervisor,2|segcli|10297|2
f64ae390-1909-4f88-86a4-c7485462606e,2025-05-16 13:00:00,Supervisor,2|segcli|9954|6
fbb5a6d9-3b77-47c0-8e8e-8d1ab329b6fc,2025-03-20 18:00:00,Supervisor,2|segcli|8991|2
fccba37e-0fe4-40e2-9484-c06f78c5870d,2025-03-20 10:00:00,Supervisor,2|segcli|9087|6
