icodcli,tipobd,baja,dormidoHistorial,dormidoEconomico,totalCobrado,saldoPendiente,saldoVencidoNoCobrado,fechaProximoCobro,totalFacturacion,numActuaciones,tiempoAct,totalCosteAct,diasSinAct,diasUltimoCobro,diasMorosidad,numActRetrasadas,oportunidadesAbiertas,dormidoOportunidad,proximoVencimiento,fechaUltimaActuacion,diasActivo,numExpedientes,numClientes,satisfaccion,ultimaValoracion,participacionEncuestas,reclamacion,incidencias,comunicaciones,informesPendientes,fechaProximaActuacion,ausencias,asistencias,materialPendiente,matriculas,reservas,fecha,totalTratamientos,totalCobrosTratamientos,numCanceladas,numCancelConAviso,numCancelSinAviso,numCancelAplazada,numTotalActuaciones,tiempousoTotal,tiempousoUsuario,totalCobradoExp,totalProvisionesExp,totalCosteExp,obligacionesPendientes,obligacionesRealizadas,descripcionultimaactu,descripcionproximaactu,totalCobrosMutua,numExpedientesAbiertos,saldoVencidoNoCobradoExp,totalFacturacionExp,totalBaseImponible,totalBaseImponibleExp,TRtiempoReal,importeTarifa,importeRenovacionUlt,espacioBackupCloud,numCursosInteresado,numCursosBaja,fechaUltimaOporAbierta,edadUltimaLlamada,edadUltimoContacto,numTareas,tieneCorreoActivo,totsaldoPrevias,saldoPacOdonto,performance,descripcionultimaactucreada,fechaUltimaActuacionCreada,datosusoCTareas,datosusoOportunidades,datosusoPresupuestos,datosusoOdontograma,datosusoLexnet,totalSaldoDeudor,numClasesCobradas,numClasesPendientes,codsubusuultimaactuacion,totalCobrosTratamientosClientes,totalpdtefacturar,numTareasAbiertas,numTareasCerradas,numTareasTotales,numTareasAbiertasPorc,numTareasCerradasPorc,saldopendientefuturo,costerealcli,costetiemporealcli,otrosgastosrealcli,tiemporealcli,margenrealcli,margenxporcientorealcli,ingresorealcli,datosusoAccesoClientes,numVisitas,numDescartados,numInteresados,saldoTratamientos,saldoTratamientosMutua,fechaUltimaFactura,datosusoComisiones,nummodulosuso,importemodulospremium,fechaultimopresupuesto,importeultimopresupuesto,numclicks,numimpagados,fechaUltContactoResp,recobrosTotalEnt,recobrosTotalSal,recobrosIntAcum,recobrosSaldo,activo,incrementonumregistros,incrementohistorial,usocontrolhorario,usoformulariosweb,usomnsign,huecosDisponibles,documentoLOPD,usoImagenes,consentimientoInformado,contratoPrestaServ,fechaUltFirmaLOPD,plantillaLegal_1,plantillaLegal_2,plantillaLegal_3,plantillaLegal_4,facturadoAnterior,facturadoActual
1765,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1766,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1767,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1769,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1770,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1771,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1772,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1773,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1774,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1775,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1776,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1777,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1778,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1779,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1780,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1782,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1783,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1784,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1785,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1786,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1787,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
1788,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,1,,,,,,,Pendiente,,,,,,,,,,
