id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
10890,126,1,1,1,,,
10891,126,1,2,2,,,
10892,126,1,3,3,,,
10893,126,1,4,4,,,
10894,126,1,5,5,,,
10895,126,1,6,6,,,
10896,126,1,7,7,,,
10897,126,1,8,8,,,
10898,126,1,4,9,,,
10899,126,1,274,10,,,
10900,126,26,105,11,,,
10901,126,26,3,12,,,
10902,126,26,110,13,,,
10903,126,26,6,14,,,
10904,126,26,5,15,,,
10905,126,26,7,16,,,
10906,126,26,20,17,,,
10907,126,26,8,18,,,
10908,126,26,17,19,,,
10909,126,26,18,20,,,
10910,126,21,91,21,1,,
10911,126,21,26,22,1,,
10912,126,1,1,23,,,
10942,128,1,1,1,,,
10943,128,1,2,2,,,
10944,128,1,3,3,,,
10945,128,1,4,4,,,
10946,128,1,5,5,,,
10947,128,1,6,6,,,
10948,128,1,7,7,,,
10949,128,1,8,8,,,
10950,128,1,4,9,,,
10951,128,1,274,10,,,
10952,128,30,112,11,,,
10953,128,1,4,12,,,
10954,128,30,113,13,,,
10955,128,30,114,14,,,
10956,128,4,34,15,1,,
10957,128,4,74,16,1,,
10958,128,4,73,17,1,,
10959,128,4,74,18,1,,
10960,128,4,76,19,1,,
10961,128,4,72,20,1,,
10962,128,4,16,21,1,,
10963,128,4,34,22,1,,
10964,128,4,74,23,1,,
10965,128,4,73,24,1,,
10966,128,4,72,25,1,,
10967,128,1,1,26,,,
10968,129,1,1,1,,,
10969,129,1,2,2,,,
10970,129,1,3,3,,,
10971,129,1,4,4,,,
10972,129,1,5,5,,,
10973,129,1,6,6,,,
10974,129,1,7,7,,,
10975,129,1,8,8,,,
10976,129,1,4,9,,,
10977,129,1,274,10,,,
10978,129,31,98,11,,,
10979,129,31,115,12,,,
10980,129,31,116,13,,,
10981,129,31,117,14,,,
10982,129,31,118,15,,,
10983,129,31,119,16,,,
10984,129,31,99,17,,,
10985,129,31,20,18,,,
10986,129,31,121,19,,,
10987,129,31,120,20,,,
10988,129,31,17,21,,,
